MINISTERIO DE DEFENSA NACIONAL;;;;;;;
POLICÍA NACIONAL;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
DIRECCIÓN DE INVESTIGACIÓN CRIMINAL E INTERPOL;;;;;;;
GRUPO DE INFORMACIÓN DE CRIMINALIDAD;;;;;;;
HURTO A PERSONAS ;;;;;;;
PERÍODO DEL 01 DE ENERO AL 28 DE FEBRERO DE AÑO 2022;;;;;;;
ARMAS MEDIO;DEPARTAMENTO ;MUNICIPIO;FECHA  HECHO ;GENERO;*AGRUPA EDAD PERSONA;CODIGO_DANE;CANTIDAD 
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;ITAGUI;28/01/2022;MASCULINO;ADULTOS;05360000;2
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;ITAGUI;29/01/2022;MASCULINO;ADULTOS;05360000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;ITAGUI;31/01/2022;MASCULINO;ADULTOS;05360000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;ITAGUI;03/02/2022;MASCULINO;ADULTOS;05360000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;ITAGUI;09/02/2022;FEMENINO;ADULTOS;05360000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;ITAGUI;11/02/2022;MASCULINO;ADOLESCENTES;05360000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;ITAGUI;17/02/2022;FEMENINO;ADULTOS;05360000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;ITAGUI;17/02/2022;MASCULINO;ADULTOS;05360000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;ITAGUI;18/02/2022;FEMENINO;ADULTOS;05360000;2
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;ITAGUI;18/02/2022;MASCULINO;ADULTOS;05360000;2
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;ITAGUI;19/02/2022;MASCULINO;ADULTOS;05360000;2
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;ITAGUI;20/02/2022;MASCULINO;ADULTOS;05360000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;ITAGUI;21/02/2022;MASCULINO;ADULTOS;05360000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;ITAGUI;24/02/2022;FEMENINO;ADULTOS;05360000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;LA CEJA;01/01/2022;MASCULINO;ADULTOS;05376000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;LA CEJA;03/01/2022;MASCULINO;ADULTOS;05376000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;LA CEJA;30/01/2022;MASCULINO;ADULTOS;05376000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;LA CEJA;06/02/2022;MASCULINO;ADULTOS;05376000;1
